symbol,full_name,sector,sub_industry,date_first_added,cik
MMM,3M Company,Industrials,Industrial Conglomerates,,66740
ABT,Abbott Laboratories,Health Care,Health Care Equipment,3/31/64,1800
ABBV,AbbVie,Health Care,Pharmaceuticals,12/31/12,1551152
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,7/6/11,1467373
ATVI,Activision Blizzard,Information Technology,Home Entertainment Software,8/31/15,718877
AYI,Acuity Brands Inc,Industrials,Electrical Components & Equipment,5/3/16,1144215
ADBE,Adobe Systems Inc,Information Technology,Application Software,,796343
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,7/9/15,1158449
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,,874761
AET,Aetna Inc,Health Care,Managed Health Care,6/30/76,1122304
AFL,AFLAC Inc,Financials,Life & Health Insurance,,4977
AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,7/1/14,1004434
A,Agilent Technologies Inc,Health Care,Health Care Equipment,,1090872
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,4/30/85,2969
AKAM,Akamai Technologies Inc,Information Technology,Internet Software & Services,7/12/07,1086222
ALK,Alaska Air Group Inc,Industrials,Airlines,5/13/16,766421
ALB,Albemarle Corp,Materials,Specialty Chemicals,7/1/16,915913
AGN,Allergan plc,Health Care,Pharmaceuticals,,884629
LNT,Alliant Energy Corp,Utilities,Electric Utilities,7/1/16,352541
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,5/25/12,899866
ALLE,Allegion,Industrials,Building Products,12/2/13,1579241
ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,12/23/13,1101215
ALL,Allstate Corp,Financials,Property & Casualty Insurance,,899051
GOOGL,Alphabet Inc Class A,Information Technology,Internet Software & Services,4/3/14,1652044
GOOG,Alphabet Inc Class C,Information Technology,Internet Software & Services,,1652044
MO,Altria Group Inc,Consumer Staples,Tobacco,,764180
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,11/18/05,1018724
AEE,Ameren Corp,Utilities,MultiUtilities,9/19/91,1002910
AAL,American Airlines Group,Industrials,Airlines,3/23/15,6201
AEP,American Electric Power,Utilities,Electric Utilities,,4904
AXP,American Express Co,Financials,Consumer Finance,6/30/76,4962
AIG,"American International Group, Inc.",Financials,Property & Casualty Insurance,3/31/80,5272
AMT,American Tower Corp A,Real Estate,Specialized REITs,11/19/07,1053507
AWK,American Water Works Company Inc,Utilities,Water Utilities,3/4/16,1410636
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,,820027
ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors,,1140859
AME,Ametek,Industrials,Electrical Components & Equipment,9/23/13,1037868
AMGN,Amgen Inc,Health Care,Biotechnology,1/2/92,318154
APH,Amphenol Corp A,Industrials,Electrical Components & Equipment,9/30/08,820313
APC,Anadarko Petroleum Corp,Energy,Oil & Gas Exploration & Production,,773910
ADI,"Analog Devices, Inc.",Information Technology,Semiconductors,,6281
ANTM,Anthem Inc.,Health Care,Managed Health Care,,1156039
AON,Aon plc,Financials,Insurance Brokers,,315293
APA,Apache Corporation,Energy,Oil & Gas Exploration & Production,,6769
AIV,Apartment Investment & Mgmt,Real Estate,REITs,,922864
AAPL,Apple Inc.,Information Technology,Computer Hardware,11/30/82,320193
AMAT,Applied Materials Inc,Information Technology,Semiconductor Equipment,,6951
ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,7/29/81,7084
ARNC,Arconic Inc,Industrials,Aerospace & Defense,3/31/64,4281
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,5/31/16,354190
AIZ,Assurant Inc,Financials,Multi-line Insurance,4/10/07,1267238
T,AT&T Inc,Telecommunications Services,Integrated Telecommunications Services,11/30/83,732717
ADSK,Autodesk Inc,Information Technology,Application Software,12/1/89,769397
ADP,Automatic Data Processing,Information Technology,Internet Software & Services,3/31/81,8670
AN,AutoNation Inc,Consumer Discretionary,Specialty Stores,,350698
AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores,,866787
AVB,"AvalonBay Communities, Inc.",Real Estate,Residential REITs,1/10/07,915912
AVY,Avery Dennison Corp,Materials,Paper Packaging,12/31/87,8818
BHI,Baker Hughes Inc,Energy,Oil & Gas Equipment & Services,,808362
BLL,Ball Corp,Materials,Metal & Glass Containers,10/31/84,9389
BAC,Bank of America Corp,Financials,Banks,6/30/76,70858
BK,The Bank of New York Mellon Corp.,Financials,Banks,,1390777
BCR,Bard (C.R.) Inc.,Health Care,Health Care Equipment,6/30/75,9892
BAX,Baxter International Inc.,Health Care,Health Care Equipment,9/30/72,10456
BBT,BB&T Corporation,Financials,Banks,,92230
BDX,Becton Dickinson,Health Care,Health Care Equipment,9/30/72,10795
BBBY,Bed Bath & Beyond,Consumer Discretionary,Specialty Stores,,886158
BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,2/16/10,1067983
BBY,Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail,,764478
BIIB,BIOGEN IDEC Inc.,Health Care,Biotechnology,,875045
BLK,BlackRock,Financials,Asset Management & Custody Banks,4/4/11,1364742
HRB,Block H&R,Financials,Consumer Finance,11/30/86,12659
BA,Boeing Company,Industrials,Aerospace & Defense,,12927
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,12/19/11,908255
BXP,Boston Properties,Real Estate,REITs,,1037540
BSX,Boston Scientific,Health Care,Health Care Equipment,,885725
BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors,,14272
AVGO,Broadcom,Information Technology,Semiconductors,5/8/14,1441634
BF-B,Brown-Forman Corporation,Consumer Staples,Distillers & Vintners,10/31/82,14693
CHRW,C. H. Robinson Worldwide,Industrials,Air Freight & Logistics,,1043277
CA,"CA, Inc.",Information Technology,Systems Software,7/31/87,356028
COG,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production,6/23/08,858470
CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats,,16732
COF,Capital One Financial,Financials,Consumer Finance,,927628
CAH,Cardinal Health Inc.,Health Care,Health Care Distributors,,721371
HSIC,Henry Schein,Health Care,Health Care Distributors,3/17/15,1000228
KMX,Carmax Inc,Consumer Discretionary,Specialty Stores,6/28/10,1170010
CCL,Carnival Corp.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",,815097
CAT,Caterpillar Inc.,Industrials,Construction & Farm Machinery & Heavy Trucks,,18230
CBG,CBRE Group,Real Estate,Real Estate Services,,1138118
CBS,CBS Corp.,Consumer Discretionary,Broadcasting & Cable TV,9/1/94,813828
CELG,Celgene Corp.,Health Care,Biotechnology,,816284
CNC,Centene Corporation,Health Care,Managed Health Care,3/30/16,1071739
CNP,CenterPoint Energy,Utilities,MultiUtilities,7/31/85,1130310
CTL,CenturyLink Inc,Telecommunications Services,Integrated Telecommunications Services,,18926
CERN,Cerner,Health Care,Health Care Distributors,4/30/10,804753
CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,8/27/08,1324404
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,,316709
CHTR,Charter Communications,Consumer Discretionary,Cable & Satellite,9/8/16,1091667
CHK,Chesapeake Energy,Energy,Integrated Oil & Gas,,895126
CVX,Chevron Corp.,Energy,Integrated Oil & Gas,,93410
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,4/28/11,1058090
CB,Chubb Limited,Financials,Property & Casualty Insurance,7/15/10,896159
CHD,Church & Dwight,Consumer Staples,Household Products,12/29/15,313927
CI,CIGNA Corp.,Health Care,Managed Health Care,6/30/76,701221
XEC,Cimarex Energy,Energy,Oil & Gas Exploration & Production,6/21/14,1168054
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,,20286
CTAS,Cintas Corporation,Industrials,Diversified Support Services,,723254
CSCO,Cisco Systems,Information Technology,Networking Equipment,12/1/93,858877
C,Citigroup Inc.,Financials,Banks,5/31/88,831001
CFG,Citizens Financial Group,Financials,Banks,1/29/16,759944
CTXS,Citrix Systems,Information Technology,Internet Software & Services,,877890
CLX,The Clorox Company,Consumer Staples,Household Products,3/31/69,21076
CME,CME Group Inc.,Financials,Financial Exchanges & Data,,1156375
CMS,CMS Energy,Utilities,MultiUtilities,,811156
COH,Coach Inc.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",,1116132
KO,Coca Cola Company,Consumer Staples,Soft Drinks,,21344
CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services,,1058290
CL,Colgate-Palmolive,Consumer Staples,Household Products,,21665
CMCSA,Comcast A Corp,Consumer Discretionary,Cable & Satellite,9/18/15,1166691
CMA,Comerica Inc.,Financials,Regional Banks,,28412
CAG,ConAgra Foods Inc.,Consumer Staples,Packaged Foods & Meats,8/31/83,23217
CXO,Concho Resources,Energy,Oil & Gas Exploration & Production,2/22/16,1358071
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,,1163165
ED,Consolidated Edison,Utilities,Electric Utilities,,1047862
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,,16918
GLW,Corning Inc.,Industrials,Construction & Engineering,,24741
COST,Costco Co.,Consumer Staples,Hypermarkets & Super Centers,10/1/93,909832
COTY,"Coty, Inc",Consumer Staples,Personal Products,10/3/16,1024305
CCI,Crown Castle International Corp.,Real Estate,REITs,3/14/12,1051470
CSRA,CSRA Inc.,Information Technology,IT Consulting & Services,12/1/15,1646383
CSX,CSX Corp.,Industrials,Railroads,9/30/67,277948
CMI,Cummins Inc.,Industrials,Industrial Machinery,3/31/65,26172
CVS,CVS Health,Consumer Staples,Drug Retail,,64803
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,,882184
DHR,Danaher Corp.,Industrials,Industrial Machinery,,313616
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,,940944
DVA,DaVita Inc.,Health Care,Health Care Facilities,7/31/08,927066
DE,Deere & Co.,Industrials,Construction & Farm Machinery & Heavy Trucks,,315189
DLPH,Delphi Automotive,Consumer Discretionary,Auto Parts & Equipment,12/24/12,1521332
DAL,Delta Air Lines,Industrials,Airlines,9/11/13,27904
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,11/14/08,818479
DVN,Devon Energy Corp.,Energy,Oil & Gas Exploration & Production,,1090012
DLR,Digital Realty Trust,Real Estate,Specialized REITs,5/18/16,1297996
DFS,Discover Financial Services,Financials,Consumer Finance,7/2/07,1393612
DISCA,Discovery Communications-A,Consumer Discretionary,Cable & Sataellite,3/1/10,1437107
DISCK,Discovery Communications-C,Consumer Discretionary,Cable & Sataellite,8/7/14,1437107
DG,Dollar General,Consumer Discretionary,General Merchandise Stores,12/3/12,29534
DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,12/19/11,935703
D,Dominion Resources,Utilities,Electric Utilities,,715957
DOV,Dover Corp.,Industrials,Industrial Machinery,10/31/85,29905
DOW,Dow Chemical,Materials,Diversified Chemicals,,29915
DPS,Dr Pepper Snapple Group,Consumer Staples,Soft Drinks,10/7/08,1418135
DTE,DTE Energy Co.,Utilities,MultiUtilities,,936340
DD,Du Pont (E.I.),Materials,Diversified Chemicals,,30554
DUK,Duke Energy,Utilities,Electric Utilities,6/30/76,1326160
DNB,Dun & Bradstreet,Industrials,Data Processing Services,12/2/08,1115222
ETFC,E*Trade,Financials,Investment Banking & Brokerage,3/31/04,1015780
EMN,Eastman Chemical,Materials,Diversified Chemicals,1/1/94,915389
ETN,Eaton Corporation,Industrials,Industrial Conglomerates,,1551182
EBAY,eBay Inc.,Information Technology,Internet Software & Services,,1065088
ECL,Ecolab Inc.,Materials,Specialty Chemicals,1/31/89,31462
EIX,Edison Int'l,Utilities,Electric Utilities,,827052
EW,Edwards Lifesciences,Health Care,Health Care Equipment & Services,4/1/11,1099800
EA,Electronic Arts,Information Technology,Home Entertainment Software,,712515
EMR,Emerson Electric Company,Industrials,Industrial Conglomerates,3/31/65,32604
ENDP,Endo International,Health Care,Pharmaceuticals,1/27/15,1100962
ETR,Entergy Corp.,Utilities,Electric Utilities,,65984
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,,821189
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,12/19/08,33213
EFX,Equifax Inc.,Financials,Diversified Financial Services,,33185
EQIX,Equinix,Real Estate,REITs,3/20/15,1101239
EQR,Equity Residential,Real Estate,REITs,,906107
ESS,Essex Property Trust Inc,Real Estate,Residential REITs,4/2/14,920522
EL,Estee Lauder Cos.,Consumer Staples,Personal Products,,1001250
ES,Eversource Energy,Utilities,MultiUtilities,,72741
EXC,Exelon Corp.,Utilities,MultiUtilities,,1109357
EXPE,Expedia Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,10/2/07,1324424
EXPD,Expeditors Int'l,Industrials,Air Freight & Logistics,10/10/07,746515
ESRX,Express Scripts,Health Care,Health Care Distributors & Services,9/25/03,1532063
EXR,Extra Space Storage,Real Estate,Specialized REITs,1/19/16,1289490
XOM,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,,34088
FFIV,F5 Networks,Information Technology,Networking Equipment,12/20/10,1048695
FB,Facebook,Information Technology,Internet Software & Services,12/23/13,1326801
FAST,Fastenal Co,Industrials,Building Products,9/15/09,815556
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2/1/16,34903
FDX,FedEx Corporation,Industrials,Air Freight & Logistics,12/31/80,1048911
FIS,Fidelity National Information Services,Information Technology,Internet Software & Services,,1136893
FITB,Fifth Third Bancorp,Financials,Banks,,35527
FSLR,First Solar Inc,Information Technology,Semiconductors,10/16/09,1274494
FE,FirstEnergy Corp,Utilities,Electric Utilities,,1031296
FISV,Fiserv Inc,Information Technology,Internet Software & Services,,798354
FLIR,FLIR Systems,Industrials,Aerospace & Defense,1/2/09,354908
FLS,Flowserve Corporation,Industrials,Industrial Machinery,10/2/08,30625
FLR,Fluor Corp.,Industrials,Diversified Commercial Services,3/31/80,1124198
FMC,FMC Corporation,Materials,Diversified Chemicals,8/19/09,37785
FTI,FMC Technologies Inc.,Energy,Oil & Gas Equipment & Services,6/5/09,1135152
FL,Foot Locker Inc,Consumer Discretionary,Apparel Retail,4/4/16,850209
F,Ford Motor,Consumer Discretionary,Automobile Manufacturers,,37996
FTV,Fortive Corp,Industrials,Industrial Machinery,7/1/16,1659166
FBHS,Fortune Brands Home & Security,Industrials,Building Products,6/22/16,1519751
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,,38777
FCX,Freeport-McMoran Cp & Gld,Materials,Copper,,831259
FTR,Frontier Communications,Telecommunications Services,Integrated Telecommunications Services,,20520
GPS,Gap (The),Consumer Discretionary,Apparel Retail,8/31/86,39911
GRMN,Garmin Ltd.,Consumer Discretionary,Consumer Electronics,12/12/12,1121788
GD,General Dynamics,Industrials,Aerospace & Defense,,40533
GE,General Electric,Industrials,Industrial Conglomerates,,40545
GGP,General Growth Properties Inc.,Real Estate,REITs,12/10/13,895648
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,3/31/69,40704
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,6/6/13,1467858
GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,12/31/73,40987
GILD,Gilead Sciences,Health Care,Biotechnology,,882095
GPN,Global Payments Inc,Information Technology,Data Processing & Outsourced Services,4/25/16,1123360
GS,Goldman Sachs Group,Financials,Investment Banking & Brokerage,,886982
GT,Goodyear Tire & Rubber,Consumer Discretionary,Tires & Rubber,,42582
GWW,Grainger (W.W.) Inc.,Industrials,Industrial Materials,6/30/81,277135
HAL,Halliburton Co.,Energy,Oil & Gas Equipment & Services,,45012
HBI,Hanesbrands Inc,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",3/20/15,1359841
HOG,Harley-Davidson,Consumer Discretionary,Motorcycle Manufacturers,,793952
HAR,Harman Int'l Industries,Consumer Discretionary,Consumer Electronics,,800459
HRS,Harris Corporation,Information Technology,Telecommunications Equipment,9/22/08,202058
HIG,Hartford Financial Svc.Gp.,Financials,Property & Casualty Insurance,,874766
HAS,Hasbro Inc.,Consumer Discretionary,Leisure Products,9/30/84,46080
HCA,HCA Holdings,Health Care,Health Care Facilities,1/27/15,860730
HCP,HCP Inc.,Real Estate,REITs,3/31/08,765880
HP,Helmerich & Payne,Energy,Oil & Gas Drilling,,46765
HES,Hess Corporation,Energy,Integrated Oil & Gas,5/31/84,4447
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",11/2/15,1645590
HOLX,Hologic,Health Care,Health Care Equipment,3/30/16,859737
HD,Home Depot,Consumer Discretionary,Home Improvement Retail,3/31/88,354950
HON,Honeywell Int'l Inc.,Industrials,Industrial Conglomerates,3/31/64,773840
HRL,Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats,3/4/09,48465
HST,Host Hotels & Resorts,Real Estate,REITs,3/20/07,1070750
HPQ,HP Inc.,Information Technology,Computer Hardware,12/31/74,47217
HUM,Humana Inc.,Health Care,Managed Health Care,,49071
HBAN,Huntington Bancshares,Financials,Banks,,49196
ITW,Illinois Tool Works,Industrials,Industrial Machinery,2/28/86,49826
ILMN,Illumina Inc,Health Care,Life Sciences Tools & Services,11/19/15,1110803
IR,Ingersoll-Rand PLC,Industrials,Industrial Conglomerates,11/17/10,1466258
INTC,Intel Corp.,Information Technology,Semiconductors,12/31/76,50863
ICE,Intercontinental Exchange,Financials,Diversified Financial Services,9/26/07,1571949
IBM,International Bus. Machines,Information Technology,IT Consulting & Services,,51143
IP,International Paper,Materials,Paper Products,,51434
IPG,Interpublic Group,Consumer Discretionary,Advertising,10/1/92,51644
IFF,Intl Flavors & Fragrances,Materials,Specialty Chemicals,3/31/76,51253
INTU,Intuit Inc.,Information Technology,Internet Software & Services,12/5/00,896878
ISRG,Intuitive Surgical Inc.,Health Care,Health Care Equipment & Services,6/2/08,1035267
IVZ,Invesco Ltd.,Financials,Asset Management & Custody Banks,8/21/08,914208
IRM,Iron Mountain Incorporated,Real Estate,REITs,1/6/09,1020569
JEC,Jacobs Engineering Group,Industrials,Industrial Conglomerates,10/26/07,52988
JBHT,J. B. Hunt Transport Services,Industrials,Trucking,7/1/15,728535
SJM,JM Smucker,Consumer Staples,Packaged Foods & Meats,11/6/08,91419
